ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
JAZZ,29,57.21,1.3638,0.1091,0.4687,-0.0603,2,0.2700,,1.00,neutral,def_skip_not_elite_vol,none,late,large,True,49.88,60,-0.0009,65.60,56.16,34.14,66.00,4,Acuta Capital Partners; EcoR1 Capital; Krensavage Asset Management; Sofinnova Investments,66.00,LOW,MODERATE,73.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
EWTX,30,57.17,1.3042,0.1043,1.0759,-0.034587,3,0.5383,,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,mid,mid,True,92.75,60,0.4750,50.00,50.00,0,71.00,9,Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Opaleye Management; Orbimed Advisors; Perceptive Advisors; RA Capital Management; Sofinnova Investments; Tang Capital Partners,69.00,LOW,MODERATE,36.44,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.7
ANRO,31,56.78,1.5002,0.12,0.9516,-0.221557,2,0.3332,,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,none,late,small,True,92.75,60,1.1037,97.76,84.74,54.36,57.00,2,Orbimed Advisors; Perceptive Advisors,72.00,LOW,LOW,85.09,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,68.0,diversified,0.87500,0.95,0.95,0.65,0.7
RCUS,32,56.52,1.3235,0.1059,0.6326,-0.119157,2,0.5236,,1.00,neutral,,none,late,mid,True,90.92,60,0.2872,80.00,69.93,46.42,58.00,2,RA Capital Management; Sofinnova Investments,53.00,LOW,LOW,40.10,ev_revenue,0.8000,48.08,exceptional,Gilead,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ANAB,33,55.85,1.2853,0.1028,0.5912,-0.063642,3,0.3497,,1.00,neutral,def_skip_vol_too_high,none,mid,small,True,92.75,60,0.3011,50.00,50.00,0,62.00,3,EcoR1 Capital; Palo Alto Investors; Sofinnova Investments,88.00,HIGH,HIGH,44.92,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,74.0,diversified,0.83500,0.95,0.95,0.45,0.7
COLL,34,55.65,1.2668,0.1013,0.4474,-0.090690,2,0.1745,,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,49.68,60,-0.0024,50.00,50.00,0,50.00,0,,84.00,MEDIUM,HIGH,85.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
MNKD,35,55.28,0.8879,0.071,0.4616,-0.048680,2,0.3317,,1.1000,good,def_mult_good_1.10,none,late,small,True,47.81,60,-0.0162,63.40,49.41,16.78,50.00,0,,53.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
AVIR,36,54.76,1.0302,0.0824,0.5268,-0.064320,3,0.2224,,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,none,mid,small,True,38.43,60,-0.0857,50.00,50.00,0,50.00,0,,76.00,LOW,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83000,0.95,0.95,0.45,0.7
BMRN,37,54.49,1.1022,0.0882,0.4294,-0.1740,2,0.4452,,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,none,late,large,True,19.81,60,-0.2119,50.00,50.00,0,50.00,0,,60.00,LOW,LOW,72.14,ev_cfo,0.8000,43.75,strong,Sarepta,69.0,ODD; BTD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
GH,38,54.32,1.0028,0.0802,0.6981,-0.022937,2,0.1582,,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,none,late,large,True,91.19,60,0.2891,73.70,57.61,20.07,57.10,7,Casdin Capital; Deep Track Capital; RTW Investments,55.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ARDX,39,54.11,1.1484,0.0919,0.8641,-0.012516,2,0.1926,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,69.80,60,0.1467,50.00,50.00,0,54.00,1,Rock Springs Capital Management,55.00,LOW,MODERATE,50.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
DVAX,40,53.62,1.2488,0.0999,0.7250,-0.015267,2,0.2577,,0.9800,neutral,def_skip_not_elite_vol; def_mult_rsi_overbought_0.98,none,late,small,True,68.74,60,0.1388,50.00,50.00,0,49.90,4,Deep Track Capital,75.00,LOW,LOW,35.00,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
GERN,41,53.39,1.1971,0.0958,0.5659,-0.034965,2,0.4758,,1.00,neutral,,none,late,small,True,26.51,60,-0.1648,50.00,50.00,0,50.00,0,,77.00,LOW,MODERATE,76.32,mcap_per_trial,0.8000,50,unknown,,64.8,ODD; FT,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CRSP,42,53.33,1.1805,0.0944,0.5582,-0.2230,1,0.4346,,1.00,neutral,,none,early,mid,True,7.25,60,-0.3106,50.00,50.00,0,58.00,2,EcoR1 Capital; Palo Alto Investors,84.00,MEDIUM,HIGH,10.00,mcap_per_trial,0.8000,56.46,exceptional,Vertex; Regeneron,81.0,ODD; BTD; FT; RMAT,75.0,uncrowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
PBYI,43,53.01,1.1174,0.0894,0.7739,-0.087808,2,0.2102,,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,64.69,60,0.1088,50.00,50.00,0,50.00,0,,63.00,LOW,LOW,83.57,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
KYMR,44,52.96,1.1327,0.0906,0.8541,-0.2367,3,0.4055,,0.999100,neutral,def_mult_high_vol_0.97; def_mult_rsi_oversold_1.03,none,mid,mid,True,59.31,60,0.0690,50.00,50.00,0,58.00,4,Baker Bros Advisors; Deerfield Management; Perceptive Advisors; Rock Springs Capital Management,73.00,LOW,MODERATE,12.71,mcap_per_trial,0.8000,60.46,exceptional,Sanofi; Vertex,64.8,ODD; FT,100.0,crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
ELVN,45,52.64,0.9894,0.0792,1.2673,-0.057710,1,0.2578,,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,early,small,True,74.46,60,0.1716,50.00,50.00,0,54.00,4,Baker Bros Advisors; Cormorant Asset Management; Orbimed Advisors; Rock Springs Capital Management,73.00,MEDIUM,MODERATE,10.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.80500,0.95,0.85,0.45,0.7
VERA,46,52.36,1.0583,0.0847,0.7858,-0.160230,2,0.5290,,1.00,neutral,,none,late,mid,True,92.75,60,0.4784,86.96,66.24,17.90,58.90,6,Deerfield Management; Rock Springs Capital Management; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,75.00,LOW,LOW,38.30,mcap_per_trial,0.8000,46.41,strong,Eli Lilly,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
LAB,47,52.16,1.0441,0.0835,0.7324,-0.119048,2,0.1371,,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,44.70,60,-0.0392,50.00,50.00,0,54.00,1,Casdin Capital,67.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
QURE,48,51.76,1.4517,0.1161,1.3016,-0.640878,1,0.1181,,0.892400,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,none,early,small,True,7.25,60,-0.3084,50.00,50.00,0,70.00,5,EcoR1 Capital; Perceptive Advisors; RA Capital Management; RTW Investments; Sofinnova Investments,48.00,MEDIUM,LOW,71.67,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
SUPN,49,51.75,1.0164,0.0813,0.4534,-0.133509,2,0.1978,,1.00,neutral,def_skip_not_elite_vol,none,late,mid,True,16.45,60,-0.2354,50.00,50.00,0,50.00,0,,79.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ASMB,50,51.70,1.214,0.0971,0.601052,-0.285195,3,0.297676,,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,none,mid,small,True,16.74,60,-0.2334,50.00,46.79,39.31,50.00,0,,50,UNKNOWN,UNKNOWN,85.59,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
IMRX,51,51.61,1.1643,0.0931,1.1957,-0.372149,1,0.2666,,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_warn_drawdown_gt_30pct,none,early,small,True,13.83,60,-0.2538,50.00,50.00,0,59.80,4,Avidity Partners Management; Logos Global Management,52.00,MEDIUM,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.74500,0.95,0.85,0.45,0.7
FTRE,52,51.28,1.0874,0.087,0.8315,-0.100000,1,0.3907,,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,none,early,small,True,92.75,60,0.5283,50.00,50.00,0,50.00,0,,71.00,MEDIUM,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.80500,0.95,0.85,0.45,0.7
SIGA,53,50.81,0.9502,0.076,0.5084,-0.204626,2,0.1682,,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,7.25,60,-0.3841,50.00,50.00,0,50.00,0,,56.00,LOW,LOW,90.00,ev_cfo,0.8000,50,unknown,,59.8,PR; FT,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.7
APLS,54,50.25,0.9001,0.072,0.7133,-0.201099,2,0.2907,,1.00,neutral,def_skip_not_elite_vol,none,late,mid,True,9.07,60,-0.2872,50.00,50.00,0,58.00,2,EcoR1 Capital; Rock Springs Capital Management,71.00,MEDIUM,MODERATE,32.14,ev_cfo,0.8000,49.75,exceptional,Swedish Orphan Biovitrum,69.0,ODD; BTD,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
AARD,55,50.06,0.9761,0.0781,0.9146,-0.110594,2,0.2477,,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,none,late,small,True,50.90,60,0.0067,73.52,59.37,26.36,50.00,1,,53.00,LOW,MODERATE,82.16,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
MLYS,56,49.89,0.8639,0.0691,0.6287,-0.324636,2,0.3093,,1.00,neutral,def_skip_vol_too_high; def_warn_drawdown_gt_30pct,none,late,mid,True,61.47,60,0.0849,50.00,50.00,0,64.20,5,Orbimed Advisors; RA Capital Management; Rock Springs Capital Management; Tang Capital Partners,57.00,LOW,MODERATE,23.68,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
IDYA,57,49.87,0.8521,0.0682,0.3864,-0.104068,3,0.6555,,1.00,neutral,,none,mid,mid,True,41.99,60,-0.0593,50.00,50.00,0,63.00,5,Baker Bros Advisors; Deerfield Management; Redmile Group; Sofinnova Investments; Tang Capital Partners,68.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83000,0.95,0.95,0.45,0.7
INVA,58,49.79,0.8405,0.0672,0.3385,-0.114901,1,0.1955,,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_50,none,early,small,True,24.87,60,-0.1764,50.00,50.00,0,50.00,0,,66.00,LOW,MODERATE,89.29,ev_cfo,0.8000,50,unknown,,50,,20.0,uncrowded,46.0,concentrated,0.80500,0.95,0.85,0.45,0.7
PTCT,59,49.65,0.8289,0.0663,0.3495,-0.115652,2,0.6350,,1.00,neutral,,none,late,mid,True,54.00,60,0.0296,50.00,50.00,0,54.29,9,Palo Alto Investors; RTW Investments; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,79.00,MEDIUM,MODERATE,87.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
BBOT,60,49.53,0.8174,0.0654,0.7251,-0.008740,1,0.1057,,1.00,neutral,def_skip_not_elite_vol,none,early,small,True,44.79,60,-0.0386,50.00,50.00,0,50.00,0,,47.00,LOW,LOW,21.67,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,52.0,concentrated,0.80000,0.95,0.85,0.45,0.7
NBIX,61,49.34,0.7948,0.0636,0.3467,-0.139690,2,0.4815,,1.00,neutral,,none,late,large,True,13.00,60,-0.2597,73.80,78.40,89.14,74.80,11,Deerfield Management; Orbimed Advisors; Palo Alto Investors; Perceptive Advisors; RTW Investments; Rock Springs Capital Management; Sectoral Asset Management; Tang Capital Partners,60.00,LOW,LOW,46.43,ev_cfo,0.8000,38.30,strong,Takeda,69.0,ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ALDX,62,49.12,0.9248,0.074,0.930493,-0.008945,2,0.314640,,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,none,late,small,True,28.06,60,-0.1539,50.00,50.00,0,58.00,2,Palo Alto Investors; Perceptive Advisors,50,UNKNOWN,UNKNOWN,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,84.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
