ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,defensive_multiplier,defensive_bucket,defensive_notes,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
VNDA,11,63.56,2.0988,0.1679,1.0382,-0.090703,2,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.4860,80.00,73.10,57.00,53.90,4,Krensavage Asset Management,75.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CTNM,12,63.26,2.2767,0.1821,0.783,0.000000,3,1.00,neutral,def_skip_not_elite_vol,none,mid,small,True,92.75,60,0.3278,83.12,63.08,16.32,60.00,4,Baker Bros Advisors; Casdin Capital; Perceptive Advisors; RA Capital Management,47.00,LOW,LOW,63.56,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
IRWD,13,63.26,2.4024,0.1922,1.2561,-0.046382,2,0.99813000,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,none,late,small,True,92.75,60,2.1626,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,53.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
VRTX,14,63.08,0.568,0.0454,0.2519,-0.0860,2,1.4000,elite,def_mult_elite_1.40,none,late,large,True,40.20,60,-0.0726,65.00,56.11,35.36,58.00,7,Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,54.00,LOW,LOW,36.43,ev_cfo,0.8000,55.08,exceptional,CRISPR Therapeutics; Moderna,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
DAWN,15,62.81,1.8671,0.1494,0.8040,-0.000810,2,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.4738,50.00,50.00,0,53.00,1,Deerfield Management,54.00,MEDIUM,LOW,46.49,mcap_per_trial,0.8000,50,unknown,,67.0,FT; BTD,75.0,uncrowded,80.0,diversified,0.83500,0.95,0.95,0.45,0.7
BEAM,16,62.36,2.0301,0.1624,0.7330,-0.182293,1,1.00,neutral,,none,early,mid,True,58.37,60,0.0620,50.00,50.00,0,50.00,0,,80.00,MEDIUM,HIGH,15.00,mcap_per_trial,0.8000,61.81,exceptional,Pfizer; Eli Lilly,78.2,BTD; ODD; RMAT,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ALT,17,61.85,1.6096,0.1288,0.8891,-0.070113,2,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.3068,50.00,50.00,0,50.00,2,,56.00,MEDIUM,MODERATE,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ENTA,18,61.84,1.9159,0.1533,0.5086,-0.245697,3,1.00,neutral,def_skip_not_elite_vol,none,mid,small,True,58.67,60,0.0642,50.00,50.00,0,54.29,4,Krensavage Asset Management,65.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
TBPH,19,61.49,1.8223,0.1458,0.5264,-0.073771,2,1.00,neutral,def_skip_vol_too_high,none,late,small,True,63.47,60,0.0998,50.00,50.00,0,50.00,0,,79.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,84.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
XNCR,20,61.34,1.7424,0.1394,0.5714,-0.305402,3,1.00,neutral,def_warn_drawdown_gt_30pct,none,mid,small,True,36.83,60,-0.0975,98.00,80.39,39.31,63.80,6,Baker Bros Advisors; Deep Track Capital; EcoR1 Capital; RTW Investments,74.00,MEDIUM,HIGH,77.12,mcap_per_trial,0.8000,35.62,strong,Janssen,64.0,FT; ODD,100.0,highly_crowded,82.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
BIIB,21,61.29,1.7063,0.1365,0.3103,-0.079309,2,1.00,neutral,,none,late,large,True,40.05,60,-0.0737,88.00,72.42,36.05,66.80,10,Krensavage Asset Management; Logos Global Management; Palo Alto Investors; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,75.00,LOW,LOW,69.29,ev_cfo,0.8000,50,unknown,,73.0,FT; BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
AMGN,22,61.25,1.6723,0.1338,0.2777,-0.019824,2,1.00,neutral,,none,late,large,True,39.56,60,-0.0773,80.00,81.02,83.41,51.43,5,Sectoral Asset Management,61.00,LOW,LOW,50.71,ev_cfo,0.8000,50,unknown,,73.0,FT; BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
EBS,23,61.00,2.1792,0.1743,1.0204,-0.160072,2,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,none,late,small,True,38.82,60,-0.0828,50.00,50.00,0,50.00,0,,73.00,MEDIUM,MODERATE,79.29,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.7
ESPR,24,60.92,1.6401,0.1312,0.7805,-0.161765,2,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,62.30,60,0.0911,50.00,50.00,0,55.71,5,Logos Global Management,56.00,LOW,MODERATE,56.93,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ARVN,25,60.57,1.5804,0.1264,0.6174,-0.046256,3,1.00,neutral,,none,mid,small,True,88.46,60,0.2699,50.00,50.00,0,54.00,2,Opaleye Management; Tang Capital Partners,76.00,LOW,LOW,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.7
HRMY,26,59.88,0.4114,0.0329,0.3158,-0.090965,2,1.4000,elite,def_mult_elite_1.40,none,late,mid,True,37.96,60,-0.0892,50.00,50.00,0,54.90,4,Great Point Partners,69.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,76.0,diversified,0.83000,0.95,0.95,0.45,0.7
MBX,27,59.59,1.4755,0.118,0.9974,-0.179416,3,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,mid,small,True,92.75,60,0.7197,50.00,50.00,0,67.00,6,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Opaleye Management; Orbimed Advisors; Rock Springs Capital Management,64.00,LOW,LOW,34.75,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,75.0,diversified,0.83500,0.95,0.95,0.45,0.7
NVCR,28,59.34,1.5526,0.1242,0.5194,-0.122394,2,1.00,neutral,,none,late,small,True,22.93,60,-0.1900,98.67,80.93,39.54,54.00,1,Palo Alto Investors,57.00,LOW,MODERATE,84.65,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
MEDP,29,58.66,0.3761,0.0301,0.2643,-0.044313,2,1.4000,elite,def_mult_elite_1.40,none,late,large,True,34.23,60,-0.1168,57.61,42.23,6.33,50.00,3,,61.00,LOW,LOW,45.00,ev_cfo,0.8000,50,unknown,,50,,50,unknown,80.0,broad_portfolio,0.80000,0.95,0.95,0.30,0.7
HRTX,30,58.63,1.5259,0.1221,0.4900,-0.095369,2,1.00,neutral,,none,late,micro,True,28.33,60,-0.1520,50.00,50.00,0,54.00,1,Baker Bros Advisors,87.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CGEM,31,58.39,1.4287,0.1143,1.1117,-0.064347,1,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,early,small,True,88.32,60,0.2689,94.55,85.96,65.93,54.00,1,RTW Investments,63.00,MEDIUM,MODERATE,55.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,63.0,focused,0.87500,0.95,0.95,0.65,0.7
ACRS,32,58.16,1.3638,0.1091,1.5686,-0.145695,2,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,92.75,60,0.5373,50.00,50.00,0,54.30,6,Logos Global Management; Palo Alto Investors; Rock Springs Capital Management,57.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
UTHR,33,57.93,1.0727,0.0858,0.2791,-0.0118,2,1.1000,good,def_mult_good_1.10,none,late,large,True,44.12,60,-0.0435,50.00,50.00,0,66.00,4,Acuta Capital Partners; Krensavage Asset Management; Palo Alto Investors; Sofinnova Investments,60.00,LOW,LOW,70.71,ev_cfo,0.8000,50,unknown,,71.0,BTD; ODD,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
UPB,34,57.52,1.4517,0.1161,0.6702,-0.048006,3,1.00,neutral,,none,mid,small,True,77.62,60,0.1938,86.00,70.83,35.43,58.40,4,Great Point Partners; Samsara BioCapital,57.00,LOW,MODERATE,29.66,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.87500,0.95,0.95,0.65,0.7
IONS,35,57.25,1.4064,0.1125,0.2985,-0.0423,2,1.00,neutral,,none,late,large,True,67.05,60,0.1263,80.00,74.96,63.20,54.00,1,Baker Bros Advisors,71.00,LOW,MODERATE,17.33,ev_revenue,0.8000,72.35,exceptional,Biogen; Roche; AstraZeneca,64.0,FT; ODD,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
JAZZ,36,57.21,1.3848,0.1108,0.4687,-0.0603,2,1.00,neutral,def_skip_not_elite_vol,none,late,large,True,49.88,60,-0.0009,65.60,56.16,34.14,66.00,4,Acuta Capital Partners; EcoR1 Capital; Krensavage Asset Management; Sofinnova Investments,66.00,LOW,MODERATE,73.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
EWTX,37,57.08,1.3235,0.1059,1.0759,-0.034587,3,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,mid,mid,True,92.75,60,0.4750,50.00,50.00,0,71.00,9,Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Opaleye Management; Orbimed Advisors; Perceptive Advisors; RA Capital Management; Sofinnova Investments; Tang Capital Partners,69.00,LOW,MODERATE,36.44,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.7
HALO,38,57.01,0.3499,0.028,0.2835,-0.048063,2,1.372000,elite,def_mult_elite_1.40; def_mult_rsi_overbought_0.98,none,late,mid,True,30.64,60,-0.1434,50.00,50.00,0,50.00,0,,63.00,MEDIUM,MODERATE,57.86,ev_cfo,0.8000,50,unknown,,71.0,BTD; ODD,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
ANRO,39,56.78,1.5002,0.12,0.9516,-0.221557,2,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,none,late,small,True,92.75,60,1.1037,97.76,84.74,54.36,57.00,2,Orbimed Advisors; Perceptive Advisors,72.00,LOW,LOW,85.09,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,68.0,diversified,0.87500,0.95,0.95,0.65,0.7
ALNY,40,56.67,0.2813,0.0225,0.3472,-0.2136,2,1.4000,elite,def_mult_elite_1.40,none,late,large,True,7.25,60,-0.4163,50.00,50.00,0,62.00,3,Casdin Capital; Palo Alto Investors; Rock Springs Capital Management,48.00,LOW,LOW,12.86,ev_cfo,0.8000,67.83,exceptional,Regeneron; Roche,73.0,FT; BTD; ODD,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
RCUS,41,56.48,1.3434,0.1075,0.6326,-0.119157,2,1.00,neutral,,none,late,mid,True,90.92,60,0.2872,80.00,69.93,46.42,58.00,2,RA Capital Management; Sofinnova Investments,53.00,LOW,LOW,40.10,ev_revenue,0.8000,48.08,exceptional,Gilead,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ANAB,42,55.85,1.3042,0.1043,0.5912,-0.063642,3,1.00,neutral,def_skip_vol_too_high,none,mid,small,True,92.75,60,0.3011,50.00,50.00,0,62.00,3,EcoR1 Capital; Palo Alto Investors; Sofinnova Investments,88.00,HIGH,HIGH,44.92,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,74.0,diversified,0.83500,0.95,0.95,0.45,0.7
COLL,43,55.65,1.2668,0.1013,0.4474,-0.090690,2,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,49.68,60,-0.0024,50.00,50.00,0,50.00,0,,84.00,MEDIUM,HIGH,85.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
MNKD,44,55.28,0.9001,0.072,0.4616,-0.048680,2,1.1000,good,def_mult_good_1.10,none,late,small,True,47.81,60,-0.0162,63.40,49.41,16.78,50.00,0,,53.00,LOW,LOW,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
AVIR,45,54.76,1.0302,0.0824,0.5268,-0.064320,3,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,none,mid,small,True,38.43,60,-0.0857,50.00,50.00,0,50.00,0,,76.00,LOW,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83000,0.95,0.95,0.45,0.7
BMRN,46,54.49,1.1174,0.0894,0.4294,-0.1740,2,1.029000,neutral,def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,none,late,large,True,19.81,60,-0.2119,50.00,50.00,0,50.00,0,,60.00,LOW,LOW,72.14,ev_cfo,0.8000,43.75,strong,Sarepta,71.0,BTD; ODD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
GH,47,54.32,1.0028,0.0802,0.6981,-0.022937,2,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,none,late,large,True,91.19,60,0.2891,73.70,57.61,20.07,57.10,7,Casdin Capital; Deep Track Capital; RTW Investments,55.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ARDX,48,54.11,1.1484,0.0919,0.8641,-0.012516,2,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,late,small,True,69.80,60,0.1467,50.00,50.00,0,54.00,1,Rock Springs Capital Management,55.00,LOW,MODERATE,50.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
DVAX,49,53.62,1.2488,0.0999,0.7250,-0.015267,2,0.9800,neutral,def_skip_not_elite_vol; def_mult_rsi_overbought_0.98,none,late,small,True,68.74,60,0.1388,50.00,50.00,0,49.90,4,Deep Track Capital,75.00,LOW,LOW,35.00,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
GERN,50,53.36,1.1971,0.0958,0.5659,-0.034965,2,1.00,neutral,,none,late,small,True,26.51,60,-0.1648,50.00,50.00,0,50.00,0,,77.00,LOW,MODERATE,76.32,mcap_per_trial,0.8000,50,unknown,,64.0,FT; ODD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CRSP,51,53.33,1.1805,0.0944,0.5582,-0.2230,1,1.00,neutral,,none,early,mid,True,7.25,60,-0.3106,50.00,50.00,0,58.00,2,EcoR1 Capital; Palo Alto Investors,84.00,MEDIUM,HIGH,10.00,mcap_per_trial,0.8000,56.46,exceptional,Vertex; Regeneron,80.2,FT; BTD; ODD; RMAT,75.0,uncrowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.7
PBYI,52,52.97,1.1327,0.0906,0.7739,-0.087808,2,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,64.69,60,0.1088,50.00,50.00,0,50.00,0,,63.00,LOW,LOW,83.57,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
KYMR,53,52.87,1.1022,0.0882,0.8541,-0.2367,3,0.999100,neutral,def_mult_high_vol_0.97; def_mult_rsi_oversold_1.03,none,mid,mid,True,59.31,60,0.0690,50.00,50.00,0,58.00,4,Baker Bros Advisors; Deerfield Management; Perceptive Advisors; Rock Springs Capital Management,73.00,LOW,MODERATE,12.71,mcap_per_trial,0.8000,60.46,exceptional,Sanofi; Vertex,64.0,FT; ODD,100.0,crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
ELVN,54,52.64,0.9894,0.0792,1.2673,-0.057710,1,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,none,early,small,True,74.46,60,0.1716,50.00,50.00,0,54.00,4,Baker Bros Advisors; Cormorant Asset Management; Orbimed Advisors; Rock Springs Capital Management,73.00,MEDIUM,MODERATE,10.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.80500,0.95,0.85,0.45,0.7
VERA,55,52.36,1.0583,0.0847,0.7858,-0.160230,2,1.00,neutral,,none,late,mid,True,92.75,60,0.4784,86.96,66.24,17.90,58.90,6,Deerfield Management; Rock Springs Capital Management; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,75.00,LOW,LOW,38.30,mcap_per_trial,0.8000,46.41,strong,Eli Lilly,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
LAB,56,52.16,1.0441,0.0835,0.7324,-0.119048,2,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,44.70,60,-0.0392,50.00,50.00,0,54.00,1,Casdin Capital,67.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.7
SUPN,57,51.75,1.0164,0.0813,0.4534,-0.133509,2,1.00,neutral,def_skip_not_elite_vol,none,late,mid,True,16.45,60,-0.2354,50.00,50.00,0,50.00,0,,79.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
ASMB,58,51.70,1.214,0.0971,0.601052,-0.285195,3,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,none,mid,small,True,16.74,60,-0.2334,50.00,46.79,39.31,50.00,0,,50,UNKNOWN,UNKNOWN,85.59,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.7
IMRX,59,51.61,1.1643,0.0931,1.1957,-0.372149,1,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_warn_drawdown_gt_30pct,none,early,small,True,13.83,60,-0.2538,50.00,50.00,0,59.80,4,Avidity Partners Management; Logos Global Management,52.00,MEDIUM,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.74500,0.95,0.85,0.45,0.7
FTRE,60,51.28,1.0874,0.087,0.8315,-0.100000,1,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,none,early,small,True,92.75,60,0.5283,50.00,50.00,0,50.00,0,,71.00,MEDIUM,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,90.0,highly_crowded,35.0,single_asset,0.80500,0.95,0.85,0.45,0.7
MIRM,61,50.94,0.4928,0.0394,0.4303,0.000000,2,1.155000,good,def_mult_good_1.10; def_mult_momentum_bonus_1.05,none,late,mid,True,77.92,60,0.1959,50.00,50.00,0,62.20,4,Palo Alto Investors; Rock Springs Capital Management; Tang Capital Partners,67.00,MEDIUM,MODERATE,12.86,ev_cfo,0.8000,43.75,strong,Ipsen,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
CRL,62,50.93,0.6466,0.0517,0.3443,-0.031927,1,1.1000,good,def_mult_good_1.10,none,early,large,True,54.02,60,0.0298,100.00,93.59,78.63,54.00,1,Rock Springs Capital Management,60.00,LOW,LOW,56.43,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.7
SIGA,63,50.81,0.9502,0.076,0.5084,-0.204626,2,1.00,neutral,def_skip_not_elite_vol,none,late,small,True,7.25,60,-0.3841,50.00,50.00,0,50.00,0,,56.00,LOW,LOW,90.00,ev_cfo,0.8000,50,unknown,,61.0,FT; PR,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.7
APLS,64,50.18,0.8879,0.071,0.7133,-0.201099,2,1.00,neutral,def_skip_not_elite_vol,none,late,mid,True,9.07,60,-0.2872,50.00,50.00,0,58.00,2,EcoR1 Capital; Rock Springs Capital Management,71.00,MEDIUM,MODERATE,32.14,ev_cfo,0.8000,49.75,exceptional,Swedish Orphan Biovitrum,71.0,BTD; ODD,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.7
AARD,65,49.99,0.9761,0.0781,0.9146,-0.110594,2,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,none,late,small,True,50.90,60,0.0067,73.52,59.37,26.36,50.00,1,,53.00,LOW,MODERATE,82.16,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.7
