ticker,composite_rank,composite_score,z_score,expected_excess_return,volatility,drawdown,cluster_id,corr_xbi,beta_xbi,defensive_multiplier,defensive_bucket,defensive_notes,rank_driver,fundamental_red_flag,fundamental_red_flag_reasons,severity,stage_bucket,market_cap_bucket,rankable,momentum_score,momentum_window,momentum_alpha,catalyst_score,catalyst_effective_score,catalyst_proximity_score,smart_money_score,smart_money_overlap,smart_money_tier1_holders,short_interest_score,short_interest_crowding,short_interest_squeeze,valuation_score,valuation_method,valuation_confidence,partnership_score,partnership_strength,partnership_top_partners,fda_designation_score,fda_designations,competitive_intensity_score,competitive_crowding_level,pipeline_diversity_score,pipeline_risk_profile,confidence_overall,confidence_financial,confidence_clinical,confidence_catalyst,confidence_pos
BEAM,11,62.89,2.0988,0.1679,0.781715,-0.182293,1,0.6600,0.195544,1.00,neutral,,alpha,False,,none,early,mid,True,54.46,60,0.0620,50.00,50.00,0,50.00,0,,80.00,MEDIUM,HIGH,15.00,mcap_per_trial,0.8000,61.81,exceptional,Pfizer; Eli Lilly,77.0,RMAT; ODD; BTD,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.50
XNCR,12,62.84,2.0301,0.1624,0.569793,-0.305402,3,0.6238,-0.088175,1.00,neutral,def_warn_drawdown_gt_30pct,alpha,False,,none,mid,small,True,42.98,60,-0.0975,98.67,80.93,39.54,80.00,6,Baker Bros Advisors; Deep Track Capital; EcoR1 Capital; RTW Investments,74.00,MEDIUM,HIGH,77.12,mcap_per_trial,0.8000,35.62,strong,Janssen,64.0,FT; ODD,100.0,highly_crowded,82.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.53
EBS,13,62.76,1.9698,0.1576,0.711087,-0.160072,2,0.2778,-0.103795,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,44.04,60,-0.0828,50.00,50.00,0,50.00,0,,73.00,MEDIUM,MODERATE,79.29,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.83000,0.95,0.95,0.45,0.84
IRWD,14,62.60,1.8671,0.1494,1.214664,-0.046382,2,0.2723,0.627654,0.99813000,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05; def_mult_rsi_overbought_0.98,alpha,False,,none,late,small,True,96.55,60,2.1626,50.00,50.00,0,50.00,0,,57.00,LOW,LOW,53.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.92
DAWN,15,62.16,1.6723,0.1338,1.038788,-0.000810,2,0.3713,1.219162,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,83.22,60,0.4738,50.00,50.00,0,60.00,1,Deerfield Management,54.00,MEDIUM,LOW,46.49,mcap_per_trial,0.8000,50,unknown,,67.0,FT; BTD,75.0,uncrowded,80.0,diversified,0.83500,0.95,0.95,0.45,0.87
BIIB,16,61.64,1.7424,0.1394,0.305963,-0.079309,2,0.4030,0.003430,1.00,neutral,,alpha,False,,none,late,large,True,44.69,60,-0.0737,88.67,72.95,36.26,80.00,10,Krensavage Asset Management; Logos Global Management; Palo Alto Investors; Sectoral Asset Management; Suvretta Capital Management; Tang Capital Partners,75.00,LOW,LOW,69.29,ev_cfo,0.8000,50,unknown,,73.0,FT; ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.84
AMGN,17,61.28,1.7063,0.1365,0.294375,-0.019824,2,0.4389,-0.161419,1.00,neutral,,alpha,False,,none,late,large,True,44.43,60,-0.0773,80.00,81.17,83.89,61.43,5,Sectoral Asset Management,61.00,LOW,LOW,50.71,ev_cfo,0.8000,50,unknown,,73.0,FT; ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.87000,0.95,0.95,0.65,0.87
ARVN,18,60.82,1.6401,0.1312,0.667934,-0.046256,3,0.5162,0.012174,1.00,neutral,,alpha,False,,none,mid,small,True,70.51,60,0.2699,50.00,50.00,0,68.00,2,Opaleye Management; Tang Capital Partners,76.00,LOW,LOW,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83500,0.95,0.95,0.45,0.53
TBPH,19,60.63,1.6096,0.1288,0.561647,-0.073771,2,0.3946,0.331535,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,late,small,True,57.18,60,0.0998,50.00,50.00,0,50.00,0,,79.00,MEDIUM,MODERATE,90.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,84.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.90
ESPR,20,60.49,1.5804,0.1264,0.775784,-0.161765,2,0.2681,1.314304,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,56.56,60,0.0911,50.00,50.00,0,65.71,5,Logos Global Management,56.00,LOW,MODERATE,56.93,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.89
MBX,21,60.46,1.5259,0.1221,0.941291,-0.179416,3,0.3023,-0.115888,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,mid,small,True,92.75,60,0.7197,50.00,50.00,0,80.00,6,Baker Bros Advisors; Cormorant Asset Management; EcoR1 Capital; Opaleye Management; Orbimed Advisors; Rock Springs Capital Management,64.00,LOW,LOW,34.75,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,75.0,diversified,0.83500,0.95,0.95,0.45,0.58
ALT,22,60.27,1.5002,0.12,0.929798,-0.070113,2,0.3525,0.758880,1.018500,neutral,def_skip_vol_too_high; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,73.31,60,0.3068,50.00,50.00,0,50.00,2,,56.00,MEDIUM,MODERATE,90.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
NVCR,23,59.98,1.5526,0.1242,0.540130,-0.122394,2,0.5639,1.083102,1.00,neutral,,alpha,False,,none,late,small,True,35.56,60,-0.1900,99.33,81.46,39.77,61.00,1,Palo Alto Investors,57.00,LOW,MODERATE,84.65,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
ENTA,24,59.23,1.8223,0.1458,0.508093,-0.245697,3,0.2510,0.301735,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,alpha,False,,none,mid,small,True,54.63,60,0.0642,50.00,50.00,0,64.29,4,Krensavage Asset Management,65.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,90.0,moderate,82.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.61
HRTX,25,59.11,1.4755,0.118,0.511878,-0.095369,2,0.5107,-0.053798,1.00,neutral,,alpha,False,,none,late,micro,True,38.44,60,-0.1520,50.00,50.00,0,61.00,1,Baker Bros Advisors,87.00,MEDIUM,HIGH,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.87
ACRS,26,58.18,1.3638,0.1091,1.319025,-0.145695,2,0.2760,1.556421,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,86.09,60,0.5373,50.00,50.00,0,80.00,6,Logos Global Management; Palo Alto Investors; Rock Springs Capital Management,57.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.94
CGEM,27,58.18,1.3434,0.1075,1.011102,-0.064347,1,0.4931,0.993280,1.018500,neutral,def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,early,small,True,70.44,60,0.2689,92.13,90.33,86.13,61.00,1,RTW Investments,63.00,MEDIUM,MODERATE,55.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,63.0,focused,0.87500,0.95,0.95,0.65,0.40
UPB,28,58.17,1.4287,0.1143,0.672328,-0.048006,3,0.5630,0.178119,1.00,neutral,,alpha,False,,none,mid,small,True,64.73,60,0.1938,86.67,71.36,35.64,76.60,4,Great Point Partners; Samsara BioCapital,57.00,LOW,MODERATE,29.66,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,75.0,diversified,0.87500,0.95,0.95,0.65,0.56
JAZZ,29,57.24,1.3848,0.1108,0.497717,-0.087175,2,0.072176,0.292708,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,large,True,49.94,60,-0.0009,66.20,56.64,34.34,80.00,4,Acuta Capital Partners; EcoR1 Capital; Krensavage Asset Management; Sofinnova Investments,66.00,LOW,MODERATE,73.57,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.87
RCUS,30,57.07,1.3235,0.1059,0.633015,-0.119157,2,0.5236,1.268961,1.00,neutral,,alpha,False,,none,late,mid,True,71.82,60,0.2872,80.00,78.08,73.60,72.00,2,RA Capital Management; Sofinnova Investments,53.00,LOW,LOW,40.10,ev_revenue,0.8000,48.08,exceptional,Gilead,50,,100.0,highly_crowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.70
ANRO,31,56.93,1.4517,0.1161,0.960504,-0.221557,2,0.3332,0.152232,0.9700,penalty,def_skip_vol_too_high; def_mult_high_vol_0.97,alpha,False,,none,late,small,True,96.55,60,1.1037,98.67,85.47,54.68,71.00,2,Orbimed Advisors; Perceptive Advisors,72.00,LOW,LOW,85.09,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,68.0,diversified,0.87500,0.95,0.95,0.65,0.87
QURE,32,56.58,2.2767,0.1821,1.609912,-0.640878,1,0.1181,1.963806,0.892400,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_drawdown_penalty_0.92,defensive_penalty,False,,none,early,small,True,26.57,60,-0.3084,50.00,50.00,0,80.00,5,EcoR1 Capital; Perceptive Advisors; RA Capital Management; RTW Investments; Sofinnova Investments,48.00,MEDIUM,LOW,71.67,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,80.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.37
ANAB,33,56.17,1.2668,0.1013,0.617299,-0.063642,3,0.3497,-0.070717,1.00,neutral,def_skip_vol_too_high,alpha,False,,none,mid,small,True,72.89,60,0.3011,50.00,50.00,0,80.00,3,EcoR1 Capital; Palo Alto Investors; Sofinnova Investments,88.00,HIGH,HIGH,44.92,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,74.0,diversified,0.83500,0.95,0.95,0.45,0.58
CRSP,34,55.80,1.214,0.0971,0.564817,-0.165026,1,-0.013877,0.153637,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,early,mid,True,26.41,60,-0.3106,50.00,50.00,0,72.00,2,EcoR1 Capital; Palo Alto Investors,84.00,MEDIUM,HIGH,10.00,mcap_per_trial,0.8000,56.46,exceptional,Vertex; Regeneron,80.2,FT; RMAT; ODD; BTD,75.0,uncrowded,78.0,diversified,0.83500,0.95,0.95,0.45,0.50
COLL,35,55.02,1.1805,0.0944,0.435436,-0.090690,2,0.1745,0.249366,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,49.83,60,-0.0024,50.00,50.00,0,50.00,0,,84.00,MEDIUM,HIGH,85.00,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.89
GH,36,54.95,0.9894,0.0792,0.637040,-0.022937,2,0.1582,0.553692,1.0500,neutral,def_skip_not_elite_vol; def_mult_momentum_bonus_1.05,alpha,False,,none,late,large,True,71.97,60,0.2891,80.00,70.37,47.91,80.00,7,Casdin Capital; Deep Track Capital; RTW Investments,55.00,LOW,LOW,10.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,86.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.87
EWTX,37,54.69,1.2853,0.1028,1.006414,-0.034587,3,0.5383,-0.357796,0.9700,penalty,def_mult_high_vol_0.97,alpha,False,,none,mid,mid,True,83.28,60,0.4750,50.00,50.00,0,80.00,9,Baker Bros Advisors; Cormorant Asset Management; Deerfield Management; Opaleye Management; Orbimed Advisors; Perceptive Advisors; RA Capital Management; Sofinnova Investments; Tang Capital Partners,69.00,LOW,MODERATE,36.44,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,72.0,diversified,0.83500,0.95,0.95,0.45,0.53
GERN,38,54.18,1.1484,0.0919,0.557081,-0.034965,2,0.4758,1.083890,1.00,neutral,,alpha,False,,none,late,small,True,37.47,60,-0.1648,50.00,50.00,0,50.00,0,,77.00,LOW,MODERATE,76.32,mcap_per_trial,0.8000,50,unknown,,64.0,FT; ODD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.70
TARS,39,54.05,1.3042,0.1043,0.343560,-0.201673,1,0.4285,-0.095059,0.9500,penalty,def_mult_momentum_penalty_0.95,alpha,False,,none,early,mid,True,35.48,60,-0.1911,50.00,50.00,0,80.00,6,Ally Bridge Group; Cormorant Asset Management; Orbimed Advisors; RTW Investments; Rock Springs Capital Management; Tang Capital Partners,86.00,LOW,MODERATE,38.12,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,68.0,diversified,0.83500,0.95,0.95,0.45,0.27
KYMR,40,53.87,1.1327,0.0906,0.838950,-0.244433,3,-0.092238,-0.118279,0.999100,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_rsi_oversold_1.03,alpha,False,,none,mid,mid,True,54.97,60,0.0690,50.00,50.00,0,80.00,4,Baker Bros Advisors; Deerfield Management; Perceptive Advisors; Rock Springs Capital Management,73.00,LOW,MODERATE,12.71,mcap_per_trial,0.8000,60.46,exceptional,Sanofi; Vertex,64.0,FT; ODD,100.0,crowded,78.0,diversified,0.83000,0.95,0.95,0.45,0.53
ELVN,41,53.54,1.0441,0.0835,1.111992,-0.057710,1,0.2578,0.380535,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,early,small,True,63.04,60,0.1716,50.00,50.00,0,80.00,4,Baker Bros Advisors; Cormorant Asset Management; Orbimed Advisors; Rock Springs Capital Management,73.00,MEDIUM,MODERATE,10.00,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.80500,0.95,0.85,0.45,0.40
ARDX,42,53.42,1.0164,0.0813,0.817204,-0.012516,2,0.1926,0.754455,1.018500,neutral,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_bonus_1.05,alpha,False,,none,late,small,True,60.56,60,0.1467,50.00,50.00,0,61.00,1,Rock Springs Capital Management,55.00,LOW,MODERATE,50.00,ev_revenue,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.92
DVAX,43,53.41,1.1643,0.0931,0.705213,-0.015267,2,0.2577,0.579996,0.9800,neutral,def_skip_not_elite_vol; def_mult_rsi_overbought_0.98,alpha,False,,none,late,small,True,59.99,60,0.1388,50.00,50.00,0,58.57,4,Deep Track Capital,75.00,LOW,LOW,35.00,ev_cfo,0.8000,50,unknown,,50,,90.0,moderate,86.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.78
ASMB,44,53.04,1.2312,0.0985,0.601052,-0.285195,3,0.297676,1.004041,0.9500,penalty,def_skip_not_elite_vol; def_mult_momentum_penalty_0.95,alpha,False,,none,mid,small,True,32.26,60,-0.2334,50.00,46.86,39.54,50.00,0,,50,UNKNOWN,UNKNOWN,85.59,mcap_per_trial,0.8000,50,unknown,,50,,100.0,highly_crowded,79.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.61
PBYI,45,52.85,1.0727,0.0858,0.777352,-0.087808,2,0.2102,0.236339,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,57.84,60,0.1088,50.00,50.00,0,50.00,0,,63.00,LOW,LOW,83.57,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.70
AVIR,46,52.78,1.0583,0.0847,0.541629,-0.064320,3,0.2224,0.927423,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,mid,small,True,43.83,60,-0.0857,50.00,50.00,0,50.00,0,,76.00,LOW,MODERATE,90.00,ev_revenue,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83000,0.95,0.95,0.45,0.61
SUPN,47,52.57,1.0302,0.0824,0.470932,-0.133509,2,0.1978,0.078409,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,mid,True,32.11,60,-0.2354,50.00,50.00,0,50.00,0,,79.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.84
BMRN,48,52.22,1.0874,0.087,0.437675,-0.074198,2,-0.072618,-0.101978,0.9800,neutral,def_skip_not_elite_vol; def_mult_rsi_overbought_0.98,alpha,False,,none,late,large,True,33.90,60,-0.2119,50.00,50.00,0,50.00,0,,60.00,LOW,LOW,72.14,ev_cfo,0.8000,43.75,strong,Sarepta,69.0,ODD; BTD,75.0,uncrowded,83.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.95
LAB,49,52.04,0.9631,0.077,0.699444,-0.119048,2,0.1371,0.259663,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,47.17,60,-0.0392,50.00,50.00,0,61.00,1,Casdin Capital,67.00,LOW,LOW,90.00,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,83.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.89
IMRX,50,51.52,1.2488,0.0999,1.391503,-0.372149,1,0.2666,2.399545,0.921500,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97; def_mult_momentum_penalty_0.95; def_warn_drawdown_gt_30pct,alpha,False,,none,early,small,True,30.71,60,-0.2538,50.00,50.00,0,78.00,4,Avidity Partners Management; Logos Global Management,52.00,MEDIUM,MODERATE,50,neutral,0.2,50,unknown,,50,,100.0,highly_crowded,42.0,concentrated,0.74500,0.95,0.85,0.45,0.40
NBIX,51,51.47,0.9248,0.074,0.319676,-0.139690,2,0.4815,0.588576,1.00,neutral,,alpha,False,,none,late,large,True,30.27,60,-0.2597,80.00,86.00,100.00,80.00,11,Deerfield Management; Orbimed Advisors; Palo Alto Investors; Perceptive Advisors; RTW Investments; Rock Springs Capital Management; Sectoral Asset Management; Tang Capital Partners,60.00,LOW,LOW,46.43,ev_cfo,0.8000,38.30,strong,Takeda,69.0,ODD; BTD,75.0,uncrowded,88.0,broad_portfolio,0.87500,0.95,0.95,0.65,0.84
SIGA,52,51.40,0.9001,0.072,0.542430,-0.204626,2,0.1682,-0.115120,1.00,neutral,def_skip_not_elite_vol,alpha,False,,none,late,small,True,21.57,60,-0.3841,50.00,50.00,0,50.00,0,,56.00,LOW,LOW,90.00,ev_cfo,0.8000,50,unknown,,61.0,FT; PR,100.0,highly_crowded,79.0,diversified,0.83500,0.95,0.95,0.45,0.89
IDYA,53,50.97,0.8759,0.0701,0.378046,-0.104068,3,0.6555,0.217308,1.00,neutral,,alpha,False,,none,mid,mid,True,45.73,60,-0.0593,50.00,50.00,0,80.00,5,Baker Bros Advisors; Deerfield Management; Redmile Group; Sofinnova Investments; Tang Capital Partners,68.00,LOW,MODERATE,12.86,ev_cfo,0.8000,50,unknown,,50,,100.0,highly_crowded,64.0,focused,0.83000,0.95,0.95,0.45,0.53
VERA,54,50.91,0.8639,0.0691,0.764750,-0.160230,2,0.5290,1.706855,1.00,neutral,,alpha,False,,none,late,mid,True,83.44,60,0.4784,50.00,50.00,0,80.00,6,Deerfield Management; Rock Springs Capital Management; Sectoral Asset Management; Sofinnova Investments; Tang Capital Partners,75.00,LOW,LOW,38.30,mcap_per_trial,0.8000,46.41,strong,Eli Lilly,50,,100.0,highly_crowded,82.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.94
AARD,55,50.77,1.0028,0.0802,0.848996,-0.110594,2,0.2477,0.376428,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,alpha,False,,none,late,small,True,50.48,60,0.0067,80.00,67.99,39.96,50.00,1,,53.00,LOW,MODERATE,82.16,mcap_per_trial,0.8000,50,unknown,,50,,75.0,uncrowded,78.0,diversified,0.87000,0.95,0.95,0.65,0.80
OPK,56,50.69,0.8405,0.0672,0.351986,-0.078571,1,0.2563,0.033067,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_1,alpha,False,,none,early,small,True,30.10,60,-0.2618,50.00,50.00,0,50.00,0,,53.00,LOW,LOW,85.64,ev_revenue,0.8000,50,unknown,,50,,90.0,moderate,60.0,focused,0.80500,0.95,0.85,0.45,0.38
APLS,57,50.55,0.9761,0.0781,0.961240,-0.201099,2,0.2907,0.762181,0.9700,penalty,def_skip_not_elite_vol; def_mult_high_vol_0.97,alpha,False,,none,late,mid,True,28.17,60,-0.2872,50.00,50.00,0,72.00,2,EcoR1 Capital; Rock Springs Capital Management,71.00,MEDIUM,MODERATE,32.14,ev_cfo,0.8000,49.75,exceptional,Swedish Orphan Biovitrum,69.0,ODD; BTD,75.0,uncrowded,86.0,broad_portfolio,0.83500,0.95,0.95,0.45,0.72
VTRS,58,50.51,0.8289,0.0663,0.330195,-0.018699,2,0.2793,0.377831,1.0,neutral,def_mult_elite_1.40; def_boost_gated_below_51_in_2,alpha,False,,none,late,large,True,53.01,60,0.0418,50.00,50.00,0,50.00,0,,68.00,LOW,LOW,65.00,ev_cfo,0.8000,50,unknown,,50,,75.0,uncrowded,88.0,broad_portfolio,0.83000,0.95,0.95,0.45,0.94
